permutation,group,scope,task,ba
39,VisualCogB_Task-1,record,1,0.5049833887043189
39,VisualCogB_Task-2,record,2,0.5608108108108107
40,all,all,0,0.5534437946718649
40,task1,task,1,0.5892983699503898
40,task2,task,2,0.5178834265528407
40,VisualCogA_Task-1,record,1,0.6273255813953489
40,VisualCogA_Task-2,record,2,0.5082735797021511
40,VisualCogB_Task-1,record,1,0.5531561461794019
40,VisualCogB_Task-2,record,2,0.5273487773487774
41,all,all,0,0.4926900584795322
41,task1,task,1,0.488731396172927
41,task2,task,2,0.49528996173093903
41,VisualCogA_Task-1,record,1,0.43779069767441864
41,VisualCogA_Task-2,record,2,0.5088251516822946
41,VisualCogB_Task-1,record,1,0.54125138427464
41,VisualCogB_Task-2,record,2,0.46621621621621623
42,all,all,0,0.5576673164392463
42,task1,task,1,0.5822820694542877
42,task2,task,2,0.5342949661465999
42,VisualCogA_Task-1,record,1,0.5630813953488372
42,VisualCogA_Task-2,record,2,0.4509100937672367
42,VisualCogB_Task-1,record,1,0.6010520487264673
42,VisualCogB_Task-2,record,2,0.617117117117117
43,all,all,0,0.503411306042885
43,task1,task,1,0.5177179305457122
43,task2,task,2,0.48793052693553135
43,VisualCogA_Task-1,record,1,0.4450581395348837
43,VisualCogA_Task-2,record,2,0.3935466078323221
43,VisualCogB_Task-1,record,1,0.5883167220376523
43,VisualCogB_Task-2,record,2,0.5862290862290862
44,all,all,0,0.48619233268356077
44,task1,task,1,0.4818568391211906
44,task2,task,2,0.49102148954960256
44,VisualCogA_Task-1,record,1,0.4575581395348837
44,VisualCogA_Task-2,record,2,0.460838389409818
44,VisualCogB_Task-1,record,1,0.5063676633444075
44,VisualCogB_Task-2,record,2,0.5353925353925354
45,all,all,0,0.4579272254710851
45,task1,task,1,0.46406803685329556
45,task2,task,2,0.4504710038269061
45,VisualCogA_Task-1,record,1,0.5372093023255814
45,VisualCogA_Task-2,record,2,0.3902371759514617
45,VisualCogB_Task-1,record,1,0.38704318936877075
45,VisualCogB_Task-2,record,2,0.5115830115830116
46,all,all,0,0.48814165042235214
46,task1,task,1,0.46980864635010633
46,task2,task,2,0.5064027082720047
46,VisualCogA_Task-1,record,1,0.4816860465116279
46,VisualCogA_Task-2,record,2,0.5460562603419746
46,VisualCogB_Task-1,record,1,0.45957918050941304
46,VisualCogB_Task-2,record,2,0.4575289575289575
47,all,all,0,0.5726120857699805
47,task1,task,1,0.5901488306165841
47,task2,task,2,0.5548277892257875
47,VisualCogA_Task-1,record,1,0.5781976744186046
47,VisualCogA_Task-2,record,2,0.5457804743519029
47,VisualCogB_Task-1,record,1,0.5982834994462901
47,VisualCogB_Task-2,record,2,0.5463320463320464
48,all,all,0,0.3880766731643924
48,task1,task,1,0.4171509567682494
48,task2,task,2,0.35796290844863116
48,VisualCogA_Task-1,record,1,0.3636627906976744
48,VisualCogA_Task-2,record,2,0.2884721456150028
48,VisualCogB_Task-1,record,1,0.47037652270210406
48,VisualCogB_Task-2,record,2,0.41055341055341055
49,all,all,0,0.5498700454840806
49,task1,task,1,0.5479801559177888
49,task2,task,2,0.5512216661760376
49,VisualCogA_Task-1,record,1,0.5933139534883721
49,VisualCogA_Task-2,record,2,0.528957528957529
49,VisualCogB_Task-1,record,1,0.5060908084163898
49,VisualCogB_Task-2,record,2,0.5678893178893178
50,all,all,0,0.5139701104613386
50,task1,task,1,0.4772501771793055
50,task2,task,2,0.5491610244333235
50,VisualCogA_Task-1,record,1,0.32703488372093026
50,VisualCogA_Task-2,record,2,0.6036955322669608
50,VisualCogB_Task-1,record,1,0.622093023255814
50,VisualCogB_Task-2,record,2,0.48133848133848134
51,all,all,0,0.5229044834307992
51,task1,task,1,0.5180014174344436
51,task2,task,2,0.5279658522225493
51,VisualCogA_Task-1,record,1,0.5191860465116279
51,VisualCogA_Task-2,record,2,0.4950358521787094
51,VisualCogB_Task-1,record,1,0.517718715393134
51,VisualCogB_Task-2,record,2,0.5527670527670527
52,all,all,0,0.45159194282001297
52,task1,task,1,0.47122608079376327
52,task2,task,2,0.43030615248748894
52,VisualCogA_Task-1,record,1,0.48517441860465116
52,VisualCogA_Task-2,record,2,0.36293436293436293
52,VisualCogB_Task-1,record,1,0.4579180509413067
52,VisualCogB_Task-2,record,2,0.49002574002574006
53,all,all,0,0.5128330084470435
53,task1,task,1,0.5170092133238837
53,task2,task,2,0.5100088313217545
53,VisualCogA_Task-1,record,1,0.5290697674418605
53,VisualCogA_Task-2,record,2,0.5626034197462769
53,VisualCogB_Task-1,record,1,0.5071982281284607
53,VisualCogB_Task-2,record,2,0.4543114543114543
54,all,all,0,0.5191682910981157
54,task1,task,1,0.4818568391211906
54,task2,task,2,0.5575507801000883
54,VisualCogA_Task-1,record,1,0.4941860465116279
54,VisualCogA_Task-2,record,2,0.5661886376172091
54,VisualCogB_Task-1,record,1,0.47120708748615725
54,VisualCogB_Task-2,record,2,0.5424710424710424
55,all,all,0,0.5462962962962963
55,task1,task,1,0.5243090007087172
55,task2,task,2,0.5671180453341184
55,VisualCogA_Task-1,record,1,0.5165697674418605
55,VisualCogA_Task-2,record,2,0.5460562603419746
55,VisualCogB_Task-1,record,1,0.5279623477297897
55,VisualCogB_Task-2,record,2,0.5846203346203347
56,all,all,0,0.5425601039636128
56,task1,task,1,0.5474131821403261
56,task2,task,2,0.5370179570209008
56,VisualCogA_Task-1,record,1,0.563953488372093
56,VisualCogA_Task-2,record,2,0.512134583563155
56,VisualCogB_Task-1,record,1,0.5290697674418605
56,VisualCogB_Task-2,record,2,0.5592020592020592
57,all,all,0,0.4673489278752437
57,task1,task,1,0.4053862508858965
57,task2,task,2,0.5310568148366206
57,VisualCogA_Task-1,record,1,0.38779069767441865
57,VisualCogA_Task-2,record,2,0.5590182018753448
57,VisualCogB_Task-1,record,1,0.42303433001107416
57,VisualCogB_Task-2,record,2,0.5003217503217503
58,all,all,0,0.4705977907732294
58,task1,task,1,0.4226080793763288
58,task2,task,2,0.5185457756844274
58,VisualCogA_Task-1,record,1,0.40930232558139534
58,VisualCogA_Task-2,record,2,0.5766685052399338
58,VisualCogB_Task-1,record,1,0.4352159468438538
58,VisualCogB_Task-2,record,2,0.4424066924066924
59,all,all,0,0.4676738141650422
59,task1,task,1,0.4226080793763288
59,task2,task,2,0.5127318221960553
59,VisualCogA_Task-1,record,1,0.3968023255813954
59,VisualCogA_Task-2,record,2,0.5088251516822946
59,VisualCogB_Task-1,record,1,0.446843853820598
59,VisualCogB_Task-2,record,2,0.5067567567567568
60,all,all,0,0.5134827810266407
60,task1,task,1,0.5122608079376328
60,task2,task,2,0.5137621430674124
60,VisualCogA_Task-1,record,1,0.4566860465116279
60,VisualCogA_Task-2,record,2,0.5424710424710424
